"pattern","path","line","text"
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","33","logger.info(`ffprobe exists: ${fs.existsSync(ffprobeInstaller.path)}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","35","// 2. Test simple ffmpeg call"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","36","logger.info('\n[TEST 1] Simple FFmpeg version check');"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","39","logger.info(`✓ FFmpeg found: ${versionOutput}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","41","logger.error(`✗ FFmpeg version check failed: ${err.message}`);"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","45","logger.info('\n[TEST 2] Minimal FFmpeg render test (5s color + sine audio)');"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","47","const testDir = path.join(__dirname, 'test-ffmpeg-debug');"
"spawn\s*\(","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","59","// Comando FFmpeg usando spawn (array de args, NO string con shell)"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","59","// Comando FFmpeg usando spawn (array de args, NO string con shell)"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\backend\debug-ffmpeg-emergency.js","61","logger.info('Running: ffmpeg -f lavfi -i color=c=0a0e27:s=1080x1920:d=5 -f lavfi -i sine=f=440:d=5 -c:v libx264 -preset faster -crf 22 -c:a aac -b:a 128k -shortest -y output.mp4');"
